defaults,distracted,permuted_pairs,permuted_questions,random_permuted_pairs,randoms,only_rhs,random_finals
"['square => E K C\nrectangle => E % K % C\ncircle => C K E\noval => ', 'king => C C C\nqueen => c c c\nman => C C\nwoman => ', 'black => } ^ {\ngray => ^\nred => } * {\npink => ', 'dog => Q Z I\npuppy => Q Q Z Z I I\ncat => Q Z I Q Z I\nkitten => ', 'king => } ^ {\nqueen => ^\nman => } * {\nwoman => ', 'black => Q Z I\ngray => Q Q Z Z I I\nred => Q Z I Q Z I\npink => ', 'dog => E K C\npuppy => E % K % C\ncat => C K E\nkitten => ', 'square => C C C\nrectangle => c c c\ncircle => C C\noval => ', 'king => E K C\nqueen => E % K % C\nman => C K E\nwoman => ', 'square => Q Z I\nrectangle => Q Q Z Z I I\ncircle => Q Z I Q Z I\noval => ', 'black => C C C\ngray => c c c\nred => C C\npink => ', 'dog => } ^ {\npuppy => ^\ncat => } * {\nkitten => ', 'black => E K C\ngray => E % K % C\nred => C K E\npink => ', 'dog => C C C\npuppy => c c c\ncat => C C\nkitten => ', 'king => Q Z I\nqueen => Q Q Z Z I I\nman => Q Z I Q Z I\nwoman => ', 'square => } ^ {\nrectangle => ^\ncircle => } * {\noval => ']","['square => E K C\npillow => A P\nrectangle => E % K % C\ncircle => C K E\noval => ', 'lime => U\nking => C C C\nqueen => c c c\nman => C C\nwoman => ', 'black => } ^ {\ngray => ^\ndoor => 8 8\nred => } * {\npink => ', 'dog => Q Z I\npuppy => Q Q Z Z I I\ncat => Q Z I Q Z I\ntree => Y Y Y\nkitten => ', 'king => } ^ {\nqueen => ^\nlime => A P\nman => } * {\nwoman => ', 'black => Q Z I\ntree => Y Y Y\ngray => Q Q Z Z I I\nred => Q Z I Q Z I\npink => ', 'door => 8 8\ndog => E K C\npuppy => E % K % C\ncat => C K E\nkitten => ', 'square => C C C\nrectangle => c c c\ncircle => C C\npillow => U\noval => ', 'king => E K C\nqueen => E % K % C\nman => C K E\nlime => 8 8\nwoman => ', 'pillow => U\nsquare => Q Z I\nrectangle => Q Q Z Z I I\ncircle => Q Z I Q Z I\noval => ', 'black => C C C\ntree => Y Y Y\ngray => c c c\nred => C C\npink => ', 'dog => } ^ {\npuppy => ^\ndoor => A P\ncat => } * {\nkitten => ', 'door => U\nblack => E K C\ngray => E % K % C\nred => C K E\npink => ', 'dog => C C C\npuppy => c c c\ncat => C C\ntree => Y Y Y\nkitten => ', 'king => Q Z I\nqueen => Q Q Z Z I I\npillow => 8 8\nman => Q Z I Q Z I\nwoman => ', 'square => } ^ {\nlime => A P\nrectangle => ^\ncircle => } * {\noval => ']","['square => E K C\noval => C % K % E\nrectangle => E % K % C\ncircle => ', 'king => C C C\nqueen => c c c\nman => C C\nwoman => ', 'pink => *\nblack => } ^ {\ngray => ^\nred => ', 'puppy => Q Q Z Z I I\nkitten => Q Q Z Z I I Q Q Z Z I I\ncat => Q Z I Q Z I\ndog => ', 'man => } * {\nqueen => ^\nking => } ^ {\nwoman => ', 'gray => Q Q Z Z I I\nblack => Q Z I\nred => Q Z I Q Z I\npink => ', 'cat => C K E\nkitten => C % K % E\npuppy => E % K % C\ndog => ', 'oval => c c\nrectangle => c c c\ncircle => C C\nsquare => ', 'woman => C % K % E\nman => C K E\nqueen => E % K % C\nking => ', 'rectangle => Q Q Z Z I I\noval => Q Q Z Z I I Q Q Z Z I I\nsquare => Q Z I\ncircle => ', 'gray => c c c\nblack => C C C\nred => C C\npink => ', 'puppy => ^\ncat => } * {\ndog => } ^ {\nkitten => ', 'red => C K E\nblack => E K C\ngray => E % K % C\npink => ', 'cat => C C\npuppy => c c c\ndog => C C C\nkitten => ', 'woman => Q Q Z Z I I Q Q Z Z I I\nking => Q Z I\nman => Q Z I Q Z I\nqueen => ', 'rectangle => ^\noval => *\nsquare => } ^ {\ncircle => ']","['king => C C C\nqueen => c c c\nman => C C\nwoman => ', 'black => } ^ {\ngray => ^\nred => } * {\npink => ', 'square => E K C\nrectangle => E % K % C\ncircle => C K E\noval => ', 'dog => Q Z I\npuppy => Q Q Z Z I I\ncat => Q Z I Q Z I\nkitten => ', 'king => } ^ {\nqueen => ^\nman => } * {\nwoman => ', 'dog => E K C\npuppy => E % K % C\ncat => C K E\nkitten => ', 'square => C C C\nrectangle => c c c\ncircle => C C\noval => ', 'black => Q Z I\ngray => Q Q Z Z I I\nred => Q Z I Q Z I\npink => ', 'square => Q Z I\nrectangle => Q Q Z Z I I\ncircle => Q Z I Q Z I\noval => ', 'king => E K C\nqueen => E % K % C\nman => C K E\nwoman => ', 'dog => } ^ {\npuppy => ^\ncat => } * {\nkitten => ', 'black => C C C\ngray => c c c\nred => C C\npink => ', 'square => } ^ {\nrectangle => ^\ncircle => } * {\noval => ', 'black => E K C\ngray => E % K % C\nred => C K E\npink => ', 'dog => C C C\npuppy => c c c\ncat => C C\nkitten => ', 'king => Q Z I\nqueen => Q Q Z Z I I\nman => Q Z I Q Z I\nwoman => ']","['book => C % K % E\nlightbulb => C K E\nbullet => E % K % C\nzebra => ', 'fireplace => Q Q Z Z I I\nplug => Q Q Z Z I I Q Q Z Z I I\nbanana => Q Z I\nbean => ', 'beer => c c c\nwire => C C C\nduck => C C\nwife => ', 'yellow => ^\ndarkness => } * {\ngun => } ^ {\ncarpet => ', 'duck => C K E\nwire => E K C\nbeer => E % K % C\nwife => ', 'darkness => C C\nyellow => c c c\ngun => C C C\ncarpet => ', 'book => Q Q Z Z I I Q Q Z Z I I\nzebra => Q Z I\nlightbulb => Q Z I Q Z I\nbullet => ', 'fireplace => ^\nplug => *\nbanana => } ^ {\nbean => ']","['banana => E K C\nfireplace => E % K % C\nbean => C K E\nplug => ', 'zebra => C C C\nbullet => c c c\nlightbulb => C C\nbook => ', 'wire => } ^ {\nbeer => ^\nduck => } * {\nwife => ', 'gun => Q Z I\nyellow => Q Q Z Z I I\ndarkness => Q Z I Q Z I\ncarpet => ', 'zebra => } ^ {\nbullet => ^\nlightbulb => } * {\nbook => ', 'wire => Q Z I\nbeer => Q Q Z Z I I\nduck => Q Z I Q Z I\nwife => ', 'gun => E K C\nyellow => E % K % C\ndarkness => C K E\ncarpet => ', 'banana => C C C\nfireplace => c c c\nbean => C C\nplug => ']","['E K C\nE % K % C\nC K E', 'C C C\nc c c\nC C', '} ^ {\n^\n} * {', 'Q Z I\nQ Q Z Z I I\nQ Z I Q Z I', '} ^ {\n^\n} * {', 'Q Z I\nQ Q Z Z I I\nQ Z I Q Z I', 'E K C\nE % K % C\nC K E', 'C C C\nc c c\nC C', 'E K C\nE % K % C\nC K E', 'Q Z I\nQ Q Z Z I I\nQ Z I Q Z I', 'C C C\nc c c\nC C', '} ^ {\n^\n} * {', 'E K C\nE % K % C\nC K E', 'C C C\nc c c\nC C', 'Q Z I\nQ Q Z Z I I\nQ Z I Q Z I', '} ^ {\n^\n} * {']","['square => E K C\nrectangle => E % K % C\ncircle => C K E\nlime => ', 'king => C C C\nqueen => c c c\nman => C C\ntree => ', 'black => } ^ {\ngray => ^\nred => } * {\ndoor => ', 'dog => Q Z I\npuppy => Q Q Z Z I I\ncat => Q Z I Q Z I\npillow => ', 'king => } ^ {\nqueen => ^\nman => } * {\npillow => ', 'black => Q Z I\ngray => Q Q Z Z I I\nred => Q Z I Q Z I\ndoor => ', 'dog => E K C\npuppy => E % K % C\ncat => C K E\nlime => ', 'square => C C C\nrectangle => c c c\ncircle => C C\ntree => ', 'king => E K C\nqueen => E % K % C\nman => C K E\ntree => ', 'square => Q Z I\nrectangle => Q Q Z Z I I\ncircle => Q Z I Q Z I\nlime => ', 'black => C C C\ngray => c c c\nred => C C\npillow => ', 'dog => } ^ {\npuppy => ^\ncat => } * {\ndoor => ', 'black => E K C\ngray => E % K % C\nred => C K E\ndoor => ', 'dog => C C C\npuppy => c c c\ncat => C C\nlime => ', 'king => Q Z I\nqueen => Q Q Z Z I I\nman => Q Z I Q Z I\npillow => ', 'square => } ^ {\nrectangle => ^\ncircle => } * {\ntree => ']"
"['C % K % E', 'c c', '*', 'Q Q Z Z I I Q Q Z Z I I', '*', 'Q Q Z Z I I Q Q Z Z I I', 'C % K % E', 'c c', 'C % K % E', 'Q Q Z Z I I Q Q Z Z I I', 'c c', '*', 'C % K % E', 'c c', 'Q Q Z Z I I Q Q Z Z I I', '*']","['C % K % E', 'c c', '*', 'Q Q Z Z I I Q Q Z Z I I', '*', 'Q Q Z Z I I Q Q Z Z I I', 'C % K % E', 'c c', 'C % K % E', 'Q Q Z Z I I Q Q Z Z I I', 'c c', '*', 'C % K % E', 'c c', 'Q Q Z Z I I Q Q Z Z I I', '*']","['C K E', 'c c', '} * {', 'Q Z I', '*', 'Q Q Z Z I I Q Q Z Z I I', 'E K C', 'C C C', 'E K C', 'Q Z I Q Z I', 'c c', '*', 'C % K % E', 'c c', 'Q Q Z Z I I', '} * {']","['c c', '*', 'C % K % E', 'Q Q Z Z I I Q Q Z Z I I', '*', 'C % K % E', 'c c', 'Q Q Z Z I I Q Q Z Z I I', 'Q Q Z Z I I Q Q Z Z I I', 'C % K % E', '*', 'c c', '*', 'C % K % E', 'c c', 'Q Q Z Z I I Q Q Z Z I I']","['E K C', 'Q Z I Q Z I', 'c c', '*', 'C % K % E', 'c c', 'Q Q Z Z I I', '} * {']","['C % K % E', 'c c', '*', 'Q Q Z Z I I Q Q Z Z I I', '*', 'Q Q Z Z I I Q Q Z Z I I', 'C % K % E', 'c c']","['C % K % E', 'c c', '*', 'Q Q Z Z I I Q Q Z Z I I', '*', 'Q Q Z Z I I Q Q Z Z I I', 'C % K % E', 'c c', 'C % K % E', 'Q Q Z Z I I Q Q Z Z I I', 'c c', '*', 'C % K % E', 'c c', 'Q Q Z Z I I Q Q Z Z I I', '*']","['C % K % E', 'c c', '*', 'Q Q Z Z I I Q Q Z Z I I', '*', 'Q Q Z Z I I Q Q Z Z I I', 'C % K % E', 'c c', 'C % K % E', 'Q Q Z Z I I Q Q Z Z I I', 'c c', '*', 'C % K % E', 'c c', 'Q Q Z Z I I Q Q Z Z I I', '*']"
"
Question 2:
square => E
rectangle => E C
circle => E C %
oval => ","
Question 2:
square => E K C
